Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
UNDP Afghanistan,@UNDPaf,2024-06-26T13:14:12.000Z,True,"Productive day at the  Advocacy Event on NGOs/CSOs in AFG! With 700 NGOs participating, the Networking Platform is now a vital resource for knowledge sharing & support. Today's discussions highlighted the resilience & adaptability of NGOs in challenging circumstances.",0,0,0,3,[],['@UNDPaf'],[],https://pbs.twimg.com/profile_images/1734659978764627968/JwYiCDoB_normal.jpg,https://x.com/UNDPaf/status/1805952704574849372,1805952704574849372
Naomi Canton,@naomi2009,2024-06-25T14:50:11.000Z,True,"Given that around 1,000 op-eds appeared in the western media ahead of the Indian elections, just wondered, how many op-eds have appeared in the Indian media about the UK elections? How much are people talking about them in India? Do the UK elections matter?",136,140,406,15218,[],[],[],https://pbs.twimg.com/profile_images/751356296176304129/p4YH5wdi_normal.jpg,https://x.com/naomi2009/status/1805614472347767206,1805614472347767206
Rajdeep Sardesai,@sardesairajdeep,2024-06-26T13:19:36.000Z,True,"Fact check: During Congress-led UPA-I (2004-09) and UPA-II (2009-14) governments, Deputy Speaker’s post was with Opposition — first with Charanjit Singh Atwal of Shiromani Akali Dal, and then with Kariya Munda of BJP.
When Atal Bihari Vajpayee was Prime Minister from 1999 to",30,44,203,50,[],[],[],https://pbs.twimg.com/profile_images/1554800330390802434/PNHHoWtm_normal.jpg,https://x.com/sardesairajdeep/status/1805954063525454142,1805954063525454142
Standard Sport,@standardsport,2024-06-26T10:10:32.000Z,True,Georgia  Portugal Kick-off time How to watch Team news Prediction #GEOPOR Match odds#EURO2024 match preview,0,0,5,1610,"['#GEOPOR', '#EURO2024']",[],"['\\U0001f19a', '\\u23f0', '\\U0001f4fa', '\\U0001f915', '\\u2753', '#\\ufe0f\\u20e3', '\\U0001f4b0']",https://pbs.twimg.com/profile_images/1714269150242336768/vatEo7BJ_normal.jpg,https://x.com/standardsport/status/1805906485261619594,1805906485261619594
Standard Sport,@standardsport,2024-06-26T10:46:30.000Z,True,Czech Republic  Turkey Kick-off time How to watch Team news Prediction #CZETUR  Match odds#EURO2024 match preview,0,1,5,1513,"['#CZETUR', '#EURO2024']",[],"['\\U0001f19a', '\\u23f0', '\\U0001f4fa', '\\U0001f915', '\\u2753', '#\\ufe0f\\u20e3', '\\U0001f4b0']",https://pbs.twimg.com/profile_images/1714269150242336768/vatEo7BJ_normal.jpg,https://x.com/standardsport/status/1805915533000180087,1805915533000180087
Standard Sport,@standardsport,2024-06-26T09:52:58.000Z,True,Ukraine  Belgium Kick-off time How to watch Team news Prediction #UKRBEL Match odds#EURO2024 match preview,4,2,5,1541,"['#UKRBEL', '#EURO2024']",[],"['\\U0001f19a', '\\u23f0', '\\U0001f4fa', '\\U0001f915', '\\u2753', '#\\ufe0f\\u20e3', '\\U0001f4b0']",https://pbs.twimg.com/profile_images/1714269150242336768/vatEo7BJ_normal.jpg,https://x.com/standardsport/status/1805902064247054792,1805902064247054792
SUHEL SETH,@Suhelseth,2024-06-26T13:21:33.000Z,True,"https://youtube.com/live/x1scsjA-XVo?si=810djofVdS2mkT7l…  -  Hello! We go live at 7 pm. Missed Sunday Club this week because of a writing deadline. This is a broadcast list since I forget to inform! Suhel, Sandip and Pallavi joining. This is from the super organised  ",0,0,1,18,[],['@AdvaitaKala'],"['\\U0001f926\\u200d\\u2640\\ufe0f', '\\U0001f926\\u200d\\u2640\\ufe0f', '\\U0001f926\\u200d\\u2640\\ufe0f']",https://pbs.twimg.com/profile_images/1733565975151378432/CAd4g8Ey_normal.jpg,https://x.com/Suhelseth/status/1805954552589357479,1805954552589357479
Mahua Moitra Fans,@MahuaMoitraFans,2024-06-26T03:29:34.000Z,True,Moye Moye !! ,50,375,3013,37508,[],[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1355470886770360321/D7idk4XA_normal.jpg,https://x.com/MahuaMoitraFans/status/1805805575894450599,1805805575894450599
BJP Uttar Pradesh,@BJP4UP,2024-06-26T13:30:31.000Z,True,मोदी सरकार के नेतृत्व में केंद्रीय गृहमंत्री श्री  #DrugsFreeBharat के निर्माण हेतु निरंतर कार्यरत हैं। जिसके परिणामस्वरूप मादक पदार्थों की जब्ती और कारोबारियों की गिरफ्तारियों में पर्याप्त वृद्धि हुई है।,0,0,0,View,['#DrugsFreeBharat'],['@AmitShah'],[],https://pbs.twimg.com/profile_images/1786085076897570816/Yw-sKVRt_normal.jpg,https://x.com/BJP4UP/status/1805956809183936884,1805956809183936884
세븐틴(SEVENTEEN),@pledis_17,2024-06-26T09:00:00.000Z,True,"SEVENTEEN TOUR 'FOLLOW' TO SEOUL Preview Cuts #1
     PRE-ORDER : 24.06.27 11:00ㅣThuㅣKST RELEASE : 24.07.12ㅣFriㅣKST#SEVENTEEN #세븐틴#SVT_TOUR_FOLLOW_TO_SEOUL#FOLLOW",56,8044,30775,331580,"['#SEVENTEEN', '#세븐틴', '#SVT_TOUR_FOLLOW_TO_SEOUL', '#FOLLOW']",[],"['\\U0001f9ed', '\\u2693']",https://pbs.twimg.com/profile_images/1794745629299863552/bqLiJzy7_normal.jpg,https://x.com/pledis_17/status/1805888734920908882,1805888734920908882
하지,@txtarchivee,2024-06-26T09:39:32.000Z,True,he’s so funny pls ,22,1897,6108,57414,[],[],"['\\U0001f62d', '\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1722795304838471680/o0sJwc1d_normal.jpg,https://x.com/txtarchivee/status/1805898682312872195,1805898682312872195
Snow Man / MENT RECORDING,@SN__20200122,2024-06-26T08:00:01.000Z,False,".˚⊹⁺‧┈┈┈┈┈┈┈┈┈‧⁺ ⊹˚.
　　   2024.6.26 22:00
　　  #君は僕のもの MV
　　　プレミア公開.˚⊹⁺‧┈┈┈┈┈┈┈┈┈‧⁺ ⊹˚.

今夜22時はここに集合お願いしますチャット欄のコメントもお待ちしてますhttps://youtu.be/5P9WQMWm6kQ",312,12689,57332,913707,"['#君は僕のもの', '', '']",[],"['\\U0001f3ac', '\\u23f0', '\\U0001f499', '\\U0001f33a', '\\u23e9']",https://pbs.twimg.com/profile_images/1805224538936143872/wv6AxC9H_normal.jpg,https://x.com/SN__20200122/status/1805873639516258666,1805873639516258666
Kep1er,@official_kep1er,2024-06-26T05:33:47.000Z,True,"[NEWS]

'케플러 中멤버' 샤오팅 ""자신을 남들과 비교하지 마세요"" [물 건너온 아이돌]

[INTERVIEW] Kep1er's XIAOTING: 'Don't Compare Yourself to Others'① https://naver.me/xprMEQro② https://naver.me/Fcm7cnYk#Kep1er #케플러",10,222,1087,54109,"['#Kep1er', '#케플러']",[],"['\\U0001f4f0', '\\U0001f517', '\\U0001f517']",https://pbs.twimg.com/profile_images/1789671634003197952/eDSeriRx_normal.jpg,https://x.com/official_kep1er/status/1805836836910383359,1805836836910383359
Lawrence of Gobi 愚蠢的精卫,@Lawrenc09874431,2024-06-26T04:11:11.000Z,True,"在俄罗斯别尔哥罗德地区的一个村庄，又出现了飘扬的乌克兰国旗！

别尔哥罗德本来是普京进攻乌克兰的主要基地，但现在已经变成了普京的伤心地。",0,18,148,3956,[],[],[],https://pbs.twimg.com/profile_images/1673899612019539971/4JAFu3q8_normal.jpg,https://x.com/Lawrenc09874431/status/1805816051394916721,1805816051394916721
Ohmpawat,@ohmpawatt,2024-06-26T13:13:11.000Z,True,ปั่นป่วน on track,13,144,286,394,[],[],['\\U0001f436'],https://pbs.twimg.com/profile_images/1647974042471927815/E0DQ4Wvv_normal.jpg,https://x.com/ohmpawatt/status/1805952447653060848,1805952447653060848
BBC News (UK),@BBCNews,2024-06-26T13:09:43.000Z,True,Father writes song to his daughter who died from rare cancer,0,0,7,4469,[],[],[],https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_normal.jpg,https://x.com/BBCNews/status/1805951577154298072,1805951577154298072
TIME,@TIME,2024-06-26T12:55:00.000Z,True,King Charles makes rare public comment about his grandchildren during state banquet,10,4,18,13907,[],[],[],https://pbs.twimg.com/profile_images/1631671081852366848/kFXyEudz_normal.png,https://x.com/TIME/status/1805947873525158330,1805947873525158330
MFA Russia,@mfa_russia,2024-06-26T12:57:58.000Z,True, President Vladimir #Putin sent greetings to the participants of the 12th St Petersburg International Legal Forum #SPILF.  Russia invariably defends the principle of the rule of law both in its domestic life and in the international arena. https://t.me/MFARussia/20898,7,10,31,1674,"['#Putin', '#SPILF']",[],"['\\u270d\\ufe0f', '\\U0001f4ac', '\\U0001f517']",https://pbs.twimg.com/profile_images/1654936203840430084/FUCOS9-i_normal.jpg,https://x.com/mfa_russia/status/1805948618265760002,1805948618265760002
짤주워오는계정,@WkfxjfrP,2024-06-26T06:21:28.000Z,True,,10,154,504,40499,[],[],[],https://pbs.twimg.com/profile_images/1169070430583283712/oTJrXisj_normal.jpg,https://x.com/WkfxjfrP/status/1805848838760185950,1805848838760185950
Red Velvet,@RVsmtown,2024-06-26T09:05:10.000Z,True,Memory of the Last Summer Day #Cosmic_Love  #레드벨벳 #RedVelvet#코스믹 #Cosmic#RedVelvet_Cosmic,157,7503,13204,277060,"['#Cosmic_Love', '#레드벨벳', '#RedVelvet', '#코스믹', '#Cosmic', '#RedVelvet_Cosmic']",[],[],https://pbs.twimg.com/profile_images/1799821057672785920/DaBTuidC_normal.jpg,https://x.com/RVsmtown/status/1805890033507094873,1805890033507094873
MrBeast,@MrBeast,2024-06-26T06:36:52.000Z,True,Feastables launch in Australia ,1605,1348,25639,938409,[],[],['\\U0001f970'],https://pbs.twimg.com/profile_images/994592419705274369/RLplF55e_normal.jpg,https://x.com/MrBeast/status/1805852713298653650,1805852713298653650
CNBC,@CNBC,2024-06-26T12:53:02.000Z,True,Biden administration to lower costs for 64 drugs through inflation penalties on drugmakers,15,10,27,9049,[],[],[],https://pbs.twimg.com/profile_images/1734317789597540352/2jMsl8hP_normal.jpg,https://x.com/CNBC/status/1805947377318068558,1805947377318068558
ラプラス・ダークネス,@LaplusDarknesss,2024-06-26T10:19:43.000Z,True,https://twitch.tv/laplusdarknesss_hololive…,135,1021,10084,153703,[],[],[],https://pbs.twimg.com/profile_images/1638886859622481922/y-zNU7s8_normal.jpg,https://x.com/LaplusDarknesss/status/1805908794582737140,1805908794582737140
HYBE OFFICIAL,@HYBEOFFICIALtwt,2024-06-26T04:11:55.000Z,True,"[기사] #세븐틴 · #TXT · #르세라핌, 오리콘 차트서도 빛났다…상반기 랭킹 톱10 진입https://m.entertain.naver.com/article/030/0003217743…",41,237,1708,50043,"['#세븐틴', '#TXT', '#르세라핌']",[],[],https://pbs.twimg.com/profile_images/1377043774044397569/JSi2OTgA_normal.jpg,https://x.com/HYBEOFFICIALtwt/status/1805816234447192109,1805816234447192109
NCT,@NCTsmtown,2024-06-26T09:39:57.000Z,True,"오사카에서의 첫 공연 
마음담아서 열심히 노래할게요!

大阪での最初の公演
心を込めて一生懸命歌います！- #DOYOUNG #도영 #Dear_Youth#DOYOUNG_Dear_Youth #OSAKA #NCT #NCT127",138,2289,7216,155594,"['#DOYOUNG', '#도영', '#Dear_Youth', '#DOYOUNG_Dear_Youth', '#OSAKA', '#NCT', '#NCT127']",[],[],https://pbs.twimg.com/profile_images/1788584739257098240/8q8O25ny_normal.jpg,https://x.com/NCTsmtown/status/1805898788483280938,1805898788483280938
NMIXX,@NMIXX_official,2024-06-26T09:00:00.000Z,True,"[] 여름휴가 뿌시고 왔습니다 지우 일본 브이로그 | JIWOO Vlog | 첫 모츠나베, 쇼핑 하울, 전망대 야경 | MIXX Loghttps://youtu.be/l0fqTTOmYlA#NMIXX #엔믹스#지우 #JIWOO",5,722,2606,44746,"['#NMIXX', '#엔믹스', '#지우', '#JIWOO']",[],"['\\U0001f3a5', '\\U0001f3a1']",https://pbs.twimg.com/profile_images/1741836680431329280/fDbW3lyX_normal.jpg,https://x.com/NMIXX_official/status/1805888735231328669,1805888735231328669
Xdinary Heroes,@XH_official,2024-06-26T10:05:01.000Z,True,"김정수~~~~~~~~~
생일 대따 많이 축하한다잉
떡볶이 배 터지게 묵어랏#김정수생일 #김정수떡볶이먹는날#건반쪽즈((1))",50,1862,3700,46826,"['#김정수생일', '#김정수떡볶이먹는날', '#건반쪽즈']",[],[],https://pbs.twimg.com/profile_images/1793658861423120384/Rc1Xgy41_normal.jpg,https://x.com/XH_official/status/1805905095118475326,1805905095118475326
쿱정원,@wonubliss,2024-06-26T08:49:33.000Z,False,,0,6268,18984,186565,[],[],"['\\U0001f90e', '\\U0001f5a4']",https://pbs.twimg.com/profile_images/1379860237792899074/EDkcG2uC_normal.jpg,https://x.com/wonubliss/status/1805886101539999905,1805886101539999905
9697,@soongyu,2024-06-26T09:35:16.000Z,True,NOT AT SEUNGKWAN PUTTING AN END TO HOSHI'S HORANGHAE AGENDA WHILE THEY WERE TAKING THE PHOTOS AT UNESCO SKDJDKSJSKLA,1,4034,10519,115257,[],[],[],https://pbs.twimg.com/profile_images/1776326907954708482/coQgbShf_normal.jpg,https://x.com/soongyu/status/1805897608147415201,1805897608147415201
SHOWCHAMPION,@showchampion1,2024-06-26T10:47:15.000Z,True,"#쇼챔피언 이제부터 이 마인드로 살기로 했다#금동현 ? 귀여워하겠습니다᧔𐓪᧓ #가온 ? 예뻐하겠습니다
금가 ? 평생 사랑하겠습니다๑‿๑",2,631,2018,38475,"['#쇼챔피언', '#금동현', '#가온']",[],"['\\u2665', '\\u2665', '\\u2665\\ufe0f']",https://pbs.twimg.com/profile_images/1759520330450903040/aSuOwLtr_normal.jpg,https://x.com/showchampion1/status/1805915724197798055,1805915724197798055
CBS Mornings,@CBSMornings,2024-06-26T13:05:41.000Z,True,"President Biden and former President Trump will go head-to-head in Atlanta tomorrow in the first presidential debate of the season.

While Trump has been doing interviews in recent days, Biden remains behind closed doors at Camp David, holding mock debates with aides.",4,8,12,3009,[],[],[],https://pbs.twimg.com/profile_images/1434910048027910149/s0yUok2u_normal.jpg,https://x.com/CBSMornings/status/1805950560249557262,1805950560249557262
드림캐쳐 Dreamcatcher,@hf_dreamcatcher,2024-06-26T09:00:06.000Z,True,"Dreamcatcher(드림캐쳐) 10th Mini Album [VirtuouS] Teaser Image #01

2024. 07. 10 6PM (KST)#드림캐쳐 #Dreamcatcher #가현 #GAHYEON #10th_Mini_Album #VirtuouS",45,3517,8265,72724,"['#드림캐쳐', '#Dreamcatcher', '#가현', '#GAHYEON', '#10th_Mini_Album', '#VirtuouS']",[],[],https://pbs.twimg.com/profile_images/1805163994136846336/TbwqCpsU_normal.jpg,https://x.com/hf_dreamcatcher/status/1805888759017468087,1805888759017468087
さくらみこ,@sakuramiko35,2024-06-26T07:25:02.000Z,True,"このあと２０時から/／Chained Together   #みこスバ\＼

鎖に繋がれた相棒と運命共同体で
頂上を目指せ―――うるさい２人みこスバ
おれたちならきっと、てっぺん
いける、いやいくぞ！！！！！！！！

▽待機所▽",295,1919,7325,349113,['#みこスバ'],[],"['\\U0001f338', '\\U0001f691', '\\U0001f691', '\\U0001f338', '\\u26d3', '\\u26d3', '\\u203c', '\\u203c', '\\u203c']",https://pbs.twimg.com/profile_images/1775638781280051200/EjRYHb9Z_normal.jpg,https://x.com/sakuramiko35/status/1805864834732540297,1805864834732540297
DAY6,@day6official,2024-06-26T09:07:21.000Z,True,"DAY6 3RD FANMEETING
'I Need My Day' DAY COMPANY
ㄴ홍보영상_백업_업무.vcrhttp://youtu.be/yGk0RXRubBE#DAY6 #데이식스#MyDay",17,2073,3338,69331,"['#DAY6', '#데이식스', '#MyDay', '', '']",[],"['\\U0001f340', '\\U0001f4c1']",https://pbs.twimg.com/profile_images/1764308144141049856/tLUjOUiu_normal.jpg,https://x.com/day6official/status/1805890581287289139,1805890581287289139
Kep1er,@official_kep1er,2024-06-26T09:39:35.000Z,True,"[Catch the Moment]

지난 주까지는 공주님이었던 케플러가
이번 주부터는 원앤온리 핫걸𝐻𝑜𝑡 𝐺𝑖𝑟𝑙 등장에 #쇼챔피언 이
다 뒤집혔다는 소식온 세상이 짱플러의 Stage Kep1ian 앞으로도 함께해요 ",13,566,2885,59659,"['#쇼챔피언', '', '', '']",[],"['\\U0001f4f8', '\\u2753', '\\U0001f525', '\\U0001f4e2', '\\u2728', '\\U0001f90d']",https://pbs.twimg.com/profile_images/1789671634003197952/eDSeriRx_normal.jpg,https://x.com/official_kep1er/status/1805898695969518054,1805898695969518054
アニメ「ポケットモンスター」公式,@anipoke_PR,2024-06-26T09:00:01.000Z,True,"◢◤Let me battle◢◤#アニポケ 第56話は
四天王交流戦ラスト！

リコ＆カエデ VS チリ がバトル白熱のバトルの模様を壁紙にしました！

放送中は #アニポケ を付けてバトルを実況してね",20,1354,4491,176754,"['#アニポケ', '#アニポケ']",[],"['\\U0001f4a5', '\\U0001f525']",https://pbs.twimg.com/profile_images/1735608569717051392/f5r0_q-O_normal.jpg,https://x.com/anipoke_PR/status/1805888736808591774,1805888736808591774
Stunning.COUPS,@Stunning_COUPS,2024-06-26T09:26:01.000Z,True,240626 UNESCO HQ#에스쿱스 #SCOUPS #승철 #최승철 #세븐틴 #SEVENTEEN,0,5119,12201,484304,"['#에스쿱스', '#SCOUPS', '#승철', '#최승철', '#세븐틴', '#SEVENTEEN']",['@pledis_17'],[],https://pbs.twimg.com/profile_images/1509776565978431490/jckgEXWl_normal.jpg,https://x.com/Stunning_COUPS/status/1805895282082672901,1805895282082672901
Xdinary Heroes,@XH_official,2024-06-26T09:34:14.000Z,True,정수 멀쩡한 사진 찾는데만 한시간정도 쓴 것 같다.,99,2715,5538,89557,[],[],[],https://pbs.twimg.com/profile_images/1793658861423120384/Rc1Xgy41_normal.jpg,https://x.com/XH_official/status/1805897349287579842,1805897349287579842
쿱정원,@wonubliss,2024-06-26T08:58:26.000Z,False,“please know that you are not alone.”,1,17153,32348,228762,[],[],[],https://pbs.twimg.com/profile_images/1379860237792899074/EDkcG2uC_normal.jpg,https://x.com/wonubliss/status/1805888338844668407,1805888338844668407
드림캐쳐 Dreamcatcher,@hf_dreamcatcher,2024-06-26T09:00:16.000Z,True,"Dreamcatcher(드림캐쳐) 10th Mini Album [VirtuouS] Teaser Image #01

2024. 07. 10 6PM (KST)#드림캐쳐 #Dreamcatcher #한동 #HANDONG#10th_Mini_Album #VirtuouS",79,4038,8362,83265,"['#드림캐쳐', '#Dreamcatcher', '#한동', '#HANDONG', '#10th_Mini_Album', '#VirtuouS']",[],[],https://pbs.twimg.com/profile_images/1805163994136846336/TbwqCpsU_normal.jpg,https://x.com/hf_dreamcatcher/status/1805888801363116073,1805888801363116073
Red Velvet,@RVsmtown,2024-06-26T09:17:21.000Z,True,A gaze approaching from afar #Cosmic_Love  #레드벨벳 #RedVelvet#웬디 #WENDY #코스믹 #Cosmic#RedVelvet_Cosmic,121,5681,11159,159804,"['#Cosmic_Love', '#레드벨벳', '#RedVelvet', '#웬디', '#WENDY', '#코스믹', '#Cosmic', '#RedVelvet_Cosmic']",[],[],https://pbs.twimg.com/profile_images/1799821057672785920/DaBTuidC_normal.jpg,https://x.com/RVsmtown/status/1805893098091753945,1805893098091753945
NCT,@NCTsmtown,2024-06-26T09:06:27.000Z,True,"BIG Naughty 【여름이잖아 (Feat. 마크 of NCT)】

Melon ➫ https://bit.ly/3VIGUjIYouTube Music ➫ https://bit.ly/4bitZebGenie ➫ https://bit.ly/45FnPU9FLO ➫ https://bit.ly/3W1Cd6gBugs ➫ https://bit.ly/3XA7lLaVIBE ➫ https://bit.ly/3VBWOfX#MARK #마크",261,10060,12539,283637,"['#MARK', '#마크', '']",[],[],https://pbs.twimg.com/profile_images/1788584739257098240/8q8O25ny_normal.jpg,https://x.com/NCTsmtown/status/1805890357277950214,1805890357277950214
드림캐쳐 Dreamcatcher,@hf_dreamcatcher,2024-06-26T09:00:22.000Z,True,"Dreamcatcher(드림캐쳐) 10th Mini Album [VirtuouS] Teaser Image #01

2024. 07. 10 6PM (KST)#드림캐쳐 #Dreamcatcher #수아 #SUA#10th_Mini_Album #VirtuouS",44,3488,7811,68581,"['#드림캐쳐', '#Dreamcatcher', '#수아', '#SUA', '#10th_Mini_Album', '#VirtuouS']",[],[],https://pbs.twimg.com/profile_images/1805163994136846336/TbwqCpsU_normal.jpg,https://x.com/hf_dreamcatcher/status/1805888824628969816,1805888824628969816
Red Velvet,@RVsmtown,2024-06-26T09:19:29.000Z,True,A gaze approaching from afar #Cosmic_Love  #레드벨벳 #RedVelvet#조이 #JOY#코스믹 #Cosmic#RedVelvet_Cosmic,147,5035,9731,132408,"['#Cosmic_Love', '#레드벨벳', '#RedVelvet', '#조이', '#JOY', '#코스믹', '#Cosmic', '#RedVelvet_Cosmic']",[],[],https://pbs.twimg.com/profile_images/1799821057672785920/DaBTuidC_normal.jpg,https://x.com/RVsmtown/status/1805893636267319575,1805893636267319575
드림캐쳐 Dreamcatcher,@hf_dreamcatcher,2024-06-26T09:00:13.000Z,True,"Dreamcatcher(드림캐쳐) 10th Mini Album [VirtuouS] Teaser Image #01

2024. 07. 10 6PM (KST)#드림캐쳐 #Dreamcatcher #유현 #YOOHYEON#10th_Mini_Album #VirtuouS",52,3455,7765,63838,"['#드림캐쳐', '#Dreamcatcher', '#유현', '#YOOHYEON', '#10th_Mini_Album', '#VirtuouS']",[],[],https://pbs.twimg.com/profile_images/1805163994136846336/TbwqCpsU_normal.jpg,https://x.com/hf_dreamcatcher/status/1805888786863448483,1805888786863448483
